버스정류장코드,시도명,시군코드,버스정류장명,측정시간,측정원본시간,미세먼지PM2점5측정값,미세먼지PM10측정값,일산화탄소측정값,이산화황측정값,이산화질소측정값,외부온도측정값,외부습도측정값,풍향,풍속측정값
05001,성남시,41130,판교제2테크노밸리,2020-08-29 15:20:14,1598714414,11,14,0.156,0.131,0.034,27.9,93.1,SE,0
06083,성남시,41130,신구대학,2020-08-28 02:39:09,1598582349,16,18,0.145,0,0.091,26.2,92.3,SW,0.2
05080,성남시,41130,성남수정새마을금고.한국사회적기업진흥원,2020-08-29 15:19:57,1598714397,15,18,0,0,0.073,28.7,85.1,S ,0.2
06164,성남시,41130,모란역.모란시장입구.풍생중고교,2020-08-29 15:21:05,1598714465,33,44,0.108,0,0.085,28.5,86.7,E ,0
06155,성남시,41130,현대아파트.중원도서관,2020-08-29 15:20:53,1598714453,15,21,0,0,0.058,28.9,86.3,SE,0
07367,성남시,41130,"동부, 코오롱 아파트",2020-08-29 15:27:10,1598714830,12,15,0.193,0,0.025,27.6,92.7,E ,0.2
07020,성남시,41130,너더리육교,2020-08-29 15:25:36,1598714736,9,11,0,0,0.067,28.9,86.1,W ,0
06229,성남시,41130,성남시청,2020-08-29 15:27:39,1598714859,12,19,0,0,0.099,28.5,86.3,E ,0.2
07334,성남시,41130,청솔주공6단지,2020-08-29 15:24:56,1598714696,11,17,0,0,0.041,27.2,91.9,E ,0.4
07472,성남시,41130,분당중앙고앞,2020-08-29 15:24:36,1598714676,2,2,0.38,0,0.094,27.4,92.6,N ,0
07116,성남시,41130,분당도서관.계원예고.이마트,2020-08-29 15:25:17,1598714717,7,9,0.511,0.03,0.122,27.3,93,SW,0
06102,성남시,41130,"선경아파트, 성남중원경찰서",2020-08-29 15:21:04,1598714464,11,12,0,0,0.065,27.5,87.7,NE,0
07505,성남시,41130,성내미육교.판교박물관,2020-08-29 15:23:32,1598714612,16,22,0.036,0.068,0.064,28.4,85.1,E ,0.8
07098,성남시,41130,롯데백화점.수내역,2020-08-29 15:21:47,1598714507,13,17,0.141,0.011,0.1,28.4,87.5,W ,0
07508,성남시,41130,차그룹컨소시엄,2020-08-29 15:26:18,1598714778,14,19,0,0.034,0.057,28.3,87.8,E ,0
06032,성남시,41130,아튼빌후문,2020-08-29 15:29:24,1598714964,13,16,0.215,0,0.078,28.4,85.9,W ,0
07239,성남시,41130,분당등기소,2020-08-29 15:24:42,1598714682,8,11,0,0.029,0.09,28.9,85.4,E ,0.8
07250,성남시,41130,임광아파트정문.효자촌입구.분당중앙교회,2020-08-29 15:20:09,1598714409,10,14,0.644,0.001,0.079,28.1,88.9,S ,0
07300,성남시,41130,동국대한방병원.신성아파트.수내고교,2020-08-29 15:29:13,1598714953,6,7,0.096,0,0.056,27.8,88.9,SE,0
